,Genre,variable,value
475,Drama,Peru,0.2
476,Family,Peru,0.0
477,Fantasy,Peru,0.0
478,Film-Noir,Peru,0.0
479,Game-Show,Peru,0.0
480,History,Peru,0.0
481,Horror,Peru,0.0
482,Music,Peru,0.0
483,Musical,Peru,0.0
484,Mystery,Peru,0.0
485,News,Peru,0.0
486,Reality-TV,Peru,0.0
487,Romance,Peru,0.2
488,Sci-Fi,Peru,0.0
489,Short,Peru,0.0
490,Sport,Peru,0.0
491,Thriller,Peru,0.2
492,War,Peru,0.0
493,Western,Peru,0.0
494,Action,Italy,0.037037037037
495,Adventure,Italy,0.037037037037
496,Animation,Italy,0.0
497,Biography,Italy,0.0185185185185
498,Comedy,Italy,0.111111111111
499,Crime,Italy,0.12962962963
500,Documentary,Italy,0.0
501,Drama,Italy,0.277777777778
502,Family,Italy,0.0
503,Fantasy,Italy,0.0
504,Film-Noir,Italy,0.0
505,Game-Show,Italy,0.0
506,History,Italy,0.037037037037
507,Horror,Italy,0.0555555555556
508,Music,Italy,0.0
509,Musical,Italy,0.0
510,Mystery,Italy,0.037037037037
511,News,Italy,0.0
512,Reality-TV,Italy,0.0
513,Romance,Italy,0.111111111111
514,Sci-Fi,Italy,0.0
515,Short,Italy,0.0
516,Sport,Italy,0.0
517,Thriller,Italy,0.0555555555556
518,War,Italy,0.037037037037
519,Western,Italy,0.0555555555556
520,Action,Russia,0.0571428571429
521,Adventure,Russia,0.2
522,Animation,Russia,0.0857142857143
523,Biography,Russia,0.0285714285714
524,Comedy,Russia,0.0571428571429
525,Crime,Russia,0.0285714285714
526,Documentary,Russia,0.0
527,Drama,Russia,0.114285714286
528,Family,Russia,0.0571428571429
529,Fantasy,Russia,0.0857142857143
530,Film-Noir,Russia,0.0
531,Game-Show,Russia,0.0
532,History,Russia,0.0285714285714
533,Horror,Russia,0.0
534,Music,Russia,0.0
535,Musical,Russia,0.0
536,Mystery,Russia,0.0571428571429
537,News,Russia,0.0
538,Reality-TV,Russia,0.0
539,Romance,Russia,0.0
540,Sci-Fi,Russia,0.0571428571429
541,Short,Russia,0.0
542,Sport,Russia,0.0
543,Thriller,Russia,0.114285714286
544,War,Russia,0.0285714285714
545,Western,Russia,0.0
546,Action,Aruba,0.333333333333
547,Adventure,Aruba,0.0
548,Animation,Aruba,0.0
549,Biography,Aruba,0.0
550,Comedy,Aruba,0.333333333333
551,Crime,Aruba,0.0
552,Documentary,Aruba,0.0
553,Drama,Aruba,0.0
554,Family,Aruba,0.0
555,Fantasy,Aruba,0.0
556,Film-Noir,Aruba,0.0
557,Game-Show,Aruba,0.0
558,History,Aruba,0.0
559,Horror,Aruba,0.0
560,Music,Aruba,0.0
561,Musical,Aruba,0.0
